LineID,Type,Speaker,Value,Next
diff_clothes,Text,로아,"<emote=Default/>그래, 훨씬 더 좋네!\n이번 학기의 내 목표는 {{Player}}가 옷 1벌을 사게 만드는 거야. 열심히 해야지!",click
,Flow,,Jump:go_campus,>

# 복귀
go_campus,Text,로아,"자, 이제 출발! 첫 수업이니까 같이 힘내자, {{Player}}!",click
,Char,,C:Exit,await

# 공대강의실
DEMO_2,Sound,,BGM:Daily2,>
,BG,,BG_Engineering_Classroom:Fade,await
,Place,,첫 전공수업 | 공대 강의실,>
,Text,,새학기라고는 하지만 학교는 늘 똑같다.,click
,Text,,"익숙한 공대 건물, 변한 게 하나도 없는 강의실.",click
,Text,,무엇보다 내 머릿속에는 오늘 수업을 마치고 나서\n동아리방에 가 로아의 데이터베이스를 뜯어볼 생각밖에 없다.,click
,Text,,선배들이 다 졸업하고 부원이라고는 나 혼자 남은 동방에 가 봤자 혼자겠지만...\n그런 건 중요하지 않다.,click
,Text,,"알고리즘 메이커는 원래도 잘 알려지지 않은 동아리였고,\n내가 입부했을 때도 전부 두 학번은 훌쩍 넘게 차이나는 선배들뿐이었다.",click
,Text,,"뭐, 상관없다.\n친구 사귀려고 들어간 것도 아니고.",click
,Text,,그런 건 애초에 관심도 없다.,click
,Text,,"그렇게 생각하고 있었는데, 시끄러운 큰 무리가 하필이면 내 옆에 우르르 앉았다.\n시끄러운 건 딱 질색인데.",click
,Text,,그 중에서도 내 옆자리에 앉은 여자애는 컴퓨터공학과에서 찾아보기 힘든 노트와 펜을 꺼내둔 모습이었다.,click
,Text,,이건 조금...\n신기했을지도 모르겠다.,click
,Text,교수님,컴퓨터구조 수업 시작하겠습니다.\n출석 부를테니까 대답하세요.,click
,Text,,"됐다, 신경쓰지 말자.\n그런 것보다는 로아를 빨리 고도화하는 게 중요하다. 애초에 그러려고 핸드폰에도 심은 거니까.",click
,Text,,"일상생활하면서 계속 상황 주고 생성형 답변 유도하면서 재학습시키면,\n내 일상에 대한 데이터는 베이스 자체를 키울 수 있을 것 같고,",click
,Text,,그러고 나면 대학생 전체로 파이를 좀 키워서...,click
,Text,,저기.,click
,Sound,,BGM:Daeun,>
,Char,,C:Enter:Daeun,await
,Text,서다은,혹시 {{Player}}님 맞으세요?,click
,Text,,아까 시끄러운 무리에 있던 그 여자애다.\n입학했을 때부터 항상 사람들하고 몰려다니던.,click
,Text,{{Player}},네? 저요?,click
,Text,,그런데 지금 갑자기 나한테 말을 왜 걸지.\n내 이름을 부른 것 자체에도 너무 당황한 나머지 되묻기까지 했다.,click

,SD,,SD_Daeun_01,await
,Text,,그러자 그 애는 도리어 본인이 더 당황한 듯 주위를 둘러보더니 빠르게 작은 목소리로 말했다.,click
,SD,,Close,await

,Text,서다은,<emote=Surprise/>네. 지금 교수님이 출석 부르시는데.,click
,Char,,C:Exit,await
,Text,,그 말에 고개를 번쩍 드니 교수님과 몇 명이 나를 쳐다보고 있었다.\n내 이름을 불렀는데 대답하지 않은 모양이다.,click
,Text,{{Player}},"아, 네. 죄송합니다. 그, {{Player}}입니다.",click
,Text,,교수님은 관심도 없다는 듯 출석을 체크하며 고개를 가볍게 저었다.,click
,Text,교수님,"봄이라고 다들 너무 들떴네.\n모두 정신 차리고. 자, 다음.",click
,Text,,친구에 관심이 없는 거였지 굳이 창피한 짓을 하려고 한 건 아니었는데.,click
,Text,,옆의 여자애와 다시 눈이 마주쳤다.,click
,Text,,그러자 그녀는 살짝 웃으며 아까보다 더 작은 목소리로 말했다.,click
,Char,,C:Enter:Daeun,await
,Text,서다은,괜찮아요. 아까 그런 사람 많았어요.,click

# 선택지
,Choice,,,
,Option,,조용히 고개를 숙여 나름 감사 인사를 한다|thank_daeun,
,Option,,무시한다|ignore_daeun,

# 선택1
thank_daeun,Char,,C:Emote:EyeSmile,await
,Text,,그녀는 말없이 한 번 더 웃어보이고는 다시 앞으로 고개를 돌렸다.,click
,Flow,,Jump:after_class,>

# 선택2
ignore_daeun,Char,,C:Emote:EyeSmile,await
,Text,,"내가 아무 말이 없자 그녀는 잠시 당황하는 듯 보였지만,\n이내 살짝 웃기만 하고 다시 앞으로 고개를 돌렸다.",click
,Flow,,Jump:after_class,>

# 합류
after_class,Char,,C:Exit,await
,Text,,"...새 학기 첫 날인데, 긴 하루가 될 것 같다.",click
,Text,,앞으로 두 개나 더 남은 수업에 한숨을 내쉬며 교재를 펼쳤다.,click
# 캠퍼스거리1_낮
DBG_CAMPUS,BG,,BG_Campus_Street1_Day:Fade,await
,Sound,,BGM:Daily2,>
,Place,,수업 종료 | 캠퍼스,>
,Text,,드디어 학기 첫 날 모든 수업이 전부 끝났다.,click
,Text,,전공과 교양을 일부러 모두 다른 날에 분리해 두었다.,click
,Text,,"시간표 짜느라 고생은 좀 했지만, 동방이 있는 학생회관은 공대와 멀지 않아서 이렇게 하는 게 가기 편하다.",click
,Text,,이제 진짜 빨리 동방에 가서 로아를 볼 일만 남았다.\n시간이 아까울 정도다. 빨리 가야지.,click
,Text,,"…라고 생각했는데,",click

# 자동저장
,Flow,,Save,await
,Text,,저 쪽에서 노란 머리의 여자애가 이 쪽을 째려보는 것이 느껴졌다.\n내 걸음걸이가 이상한가. 아니면 날 쳐다본다는 것 자체가 착각일 수도 있다.,click
,Text,,"그런 줄로만 알았는데 이상하게 점점 다가온다.\n뭐야, 뭐냐고! 나도 모르게 뒷걸음질을 쳤다.",click

# 선택지
,Choice,,,
,Option,,도망간다|run_away,
,Option,,멈춘다|stay_still,

# 선택1
run_away,Text,,당황한 나는 황급하게 몸을 돌려 방향을 틀었다.,click
,Text,,하지만 그 사이 여자애의 손이 내 옷자락을 잡아당겼다.,click
,Flow,,Jump:yeun_intro,>

# 선택2
stay_still,Text,,여자애는 이제 내 코앞까지 다가와 있었다.,click
,Text,,한참을 나를 보던 여자애는 한쪽 눈을 찡그리며 고민하듯이 말했다.,click
,Flow,,Jump:yeun_intro,>

# 합류
yeun_intro,Sound,,BGM:Yeun,>
,Char,,C:Enter:Yeun:Surprise,await
,Text,하예은,너... {{Player}}?,click
,Text,,내 이름을 어떻게 알고 있지?,click
,Text,하예은,{{Player}} 맞지? 그 찔찔이!,click
,Text,,찔... 찔찔이?,click
,Text,,당황스러운 호칭에 나도 모르게 말을 더듬었다.\n그런 나를 보고 여자애는 자신있게 소리쳤다.,click
,Text,하예은,"<emote=BrightSmile/>그래, 찔찔이! 뭐만 하면 울었잖아!",click
,Text,{{Player}},누구세요?,click
,Text,하예은,<emote=Default/>내가 기억이 안 나?,click
,Text,{{Player}},기억이 날 것 같기도 하고...,click
,Text,하예은,"<emote=Glare/>안 난다고 해라, 진짜!",click
,Text,{{Player}},기억 나!\n기억 나! 난다고!,click
,Text,하예은,<emote=Default/>그래? 내 이름 뭔데.,click
,Text,{{Player}},그...,click

# 선택지
,Choice,,,
,Option,,기억난다|remember_yeun,
,Option,,기억나지 않는다|forgot_yeun,

# 선택지1
remember_yeun,Text,{{Player}},"그... 음... 어, 혹시 하예은?",click
,Char,,C:Emote:Surprise,await
,Text,하예은,"어, 정말로... 기억하네.",click
,Flow,,Jump:yeun_reunion,>

# 선택지2
forgot_yeun,Text,{{Player}},"그... 사실 기억 안 나. 미, 미안.",click
,Char,,C:Emote:Surprise,await
,FX,,Wait:1.5,await
,Char,,C:Emote:Default,await
,Text,하예은,"됐어. 너한테 뭘 기대하냐, 바보야.\n하예은이잖아!",click
,Text,,"누가 봐도 실망한 표정이었는데, 방금.",click
,Flow,,Jump:yeun_reunion,>

# 합류
yeun_reunion,Char,,C:Emote:Default,await
,Text,,목소리를 들으니 이제 조금 더 기억이 나기 시작했다.\n초등학교 때 같이 놀이터에서 놀던 여자애.,click
,Text,,"옆집에 살았기도 하고, 같은 학교를 다녀서 어렸을 때는 같이 놀았던 일이 꽤 많았다.",click
,Text,,그 때도 매일 놀이터에 태권도 도복 입고 나왔었는데.\n안에 노란색 내복 입고.,click
,Text,,복장을 보니 아직도 태권도를 하는 것 같았다.,click
,Text,,한참을 머뭇거리던 예은이 아까보다 작은 목소리로 말했다.,click
,Text,하예은,"그건 그렇고, 지금까지 왜... 그... 그...",click
,Text,하예은,연락... 안 했냐?,click
,Text,{{Player}},모르는데 어떻게 해?,click
,Text,하예은,"<emote=Glare/>장난치는 거야, 지금?!",click
,Text,{{Player}},"그게 아니라 진짜로! 진짜!\n핸드폰 번호도 모르고, 그러니까 그게!",click
,Text,하예은,"내가 그 때, 그거, 그거 줬잖아!",click
,Text,{{Player}},그거?,click
,Text,하예은,<emote=Shy/>이 바보가...!,click
,Text,,내가 예은의 말을 알아듣지 못하자 예은의 얼굴이 터질 것처럼 빨갛게 달아올랐다.,click
,Text,,하지만 정말 기억이 안 난다. 뭘 말하는 거지?,click
,Text,???,하예은! 왜 안 와!,click
,Text,,누군가가 예은을 부르는 것 같았지만 예은은 신경도 쓰지 않고 나에게 말했다.,click
,Text,하예은,<emote=Default/>핸드폰 줘 봐.,click
,Text,,얼떨결에 핸드폰을 내밀자 받아든 예은이 어이가 없다는 듯 말했다.,click
,Text,하예은,"<emote=Glare/>잠금 풀고 줘야 할 거 아니야!\n멍한 건 어렸을 때랑 똑같아, 진짜.",click
,Text,{{Player}},"미, 미안.",click
,Text,,내가 왜 사과를 하고 있지?\n그런데 사과가 내 입에서 나오는 게 자연스럽다.,click
,Text,,잠금이 풀린 핸드폰을 다시 받아든 예은이 액정을 두드렸다.,click
,Text,하예은,"<emote=Default/>야, 이거 내 번호니까 저장해.",click
,Text,하예은,연락하면 바로바로 받아.\n나 기다리는 거 안 좋아한단 말이야.,click
,Text,하예은,"<emote=Glare/>그리고 이번에도 연락 안 하면 가만 안 둔다, 진짜!",click
,Text,하예은,"<emote=Default/>그럼 나 간다.",click
,Text,,예은은 그 말을 마지막으로 대답도 듣지 않고 휙 몸을 돌려 가 버렸다.,click
,Char,,C:Exit,await
,Text,,조금 멍해져서 그 뒷모습을 쳐다보았다.\n예전보다 더 병아리 같아졌는데 목소리는 더 커졌다. 혼난 기분이다.,click
,Text,,그런데 몇 걸음 멀어졌던 예은이 얼마 가지 않아 다시 가까이 다가오더니 새빨간 얼굴로 다시 소리쳤다.,click
,Char,,C:Enter:Yeun:Shy,await
,Text,하예은,"뭐, 좋아하고, 뭐, 관심 있고, 그딴 거 절대 아니니까 오해하면 안 돼!",click
,Text,하예은,"이제 가! 아니, 내가 갈 거야!\n잘 가던지, 알아서 해!",click
,Text,{{Player}},"그, 그래. 잘 가.",click
,Char,,C:Exit,await

# 로아 메시지 도착
,Sound,,BGM:Daily2,>
,FX,,Wait:0.5,await
,Text,,<sfx=060/>핸드폰에 남겨진 예은의 번호를 저장하자 로아의 메시지가 왔다.,click
,Char,,C:Enter:Roa:Default,await
,Text,로아,"우와, 새로운 번호네! 누구야?",click
,Text,{{Player}},어릴 때 알던 친구야. 우연히 만났어.,click
,Text,로아,잘 됐네! 오랜만에 만났는데 어땠어?,click

# 선택지
,Choice,,,
,Option,,재미있었어.|fun_meeting,
,Option,,조금 어색했어.|awkward_meeting,

# 선택1
fun_meeting,Text,로아,그래? 예은이와 좋은 친구가 될 수 있겠네. 나도 잘 저장해 둘게!,click
,Flow,,Jump:go_home,>

# 선택2
awkward_meeting,Text,로아,오랜만에 만나서 그럴 거야. 몇 번 이야기하면 어릴 때로 돌아간 것 같을 걸?,click
,Flow,,Jump:go_home,>

# 합류
go_home,Text,{{Player}},지금은 그냥 피곤해. 얼른 집에 가야겠어.\n데이터는 잘 들어간 거야?,click
,Text,로아,<emote=EyeSmile/>데이터 확인 완료! 걱정 마.,click
,Text,{{Player}},"그래. 하, 이제 좀 여유가 생겼네...",click
,Char,,C:Exit,await
,Flow,,Schedule,await


# 자취방_밤_불켜짐
DBG_NIGHT,Sound,,BGM:Daily1,>
,BG,,BG_MyRoom_Interior_Night_LightOn:Fade,await
,Place,,새 학기 첫날 밤 | 자취방,>
,Text,,"평소에 비해 그렇게 늦은 시간까지 깨어 있는 것도 아닌데, 피곤하다.\n역시 학교 수업 듣는 건 듣기만 해도 피곤한 게 맞다니까.",click
,Char,,C:Enter:Roa:Default,await
,Text,로아,"{{Player}}, 졸려?\n눈을 깜빡이는 속도가 느려졌어.",click
,Text,{{Player}},"응, 조금 졸리네. 이제 자야겠어.",click
,Text,로아,좋아! 늘 듣던 그거 들으면서 잘까?,click
,Text,{{Player}},"뭐, 좋아. 이제 불 끈다.",click
,Text,로아,"잠깐, 잠깐! 나 아직 로딩 중이야!",click
# 자취방_침대_밤
,Sound,,BGM:Night,>
,BG,,BG_MyRoom_Bed_Night:Cross,await
,FX,,Wait:0.5,await
,Text,로아,...됐다!,click
,Text,{{Player}},이제 진짜 잔다. 내일 봐.,click
,Text,로아,"<emote=BrightSmile/>잘 자, {{Player}}. 오늘도 수고했어.",click
,FX,,SceneEnd,await
,Flow,,LoadingScene,await

# 2일차
,FX,,SceneStart:BG_MyRoom_Bed_Day:EyeClose,await
,Text,로아,"일어나, {{Player}}! 아침이야!",click
,Text,로아,오늘 날씨가 얼마나 좋은지 알아? 나도 빨리 나가고 싶다!,click
,Text,로아,"{{Player}}, 얼른 눈 떠서 얼굴 보여주라!",click
,Text,,로아는 좋겠다. AI라서 졸리지도 않은 모양이다.,click
,FX,,EyeOpen,await
,Sound,,BGM:Daily2,>
,Place,,새 학기 2일차 | 침대 위,await

# 자동저장
,Flow,,Save,await
# 자취방_침대_낮
,Text,,억지로 무거운 눈꺼풀을 뜨고 로아와 마주했다.,click
,Char,,C:Enter:Roa:Default,await
,Text,,"그래, 좋은 아침...",click
# 자취방_낮
,BG,,BG_MyRoom_Interior_Day:Cross,await
,Text,,방학 내내 로아만 붙잡고 밤샘을 하도 많이 했더니...\n역시 졸려 죽겠다.,click
,Text,로아,오늘은 교양 수업의 첫 날이네! 시간표가 교양 수업으로 꽉 찼어.,click
,Text,로아,"아, 맞다. 오늘 전공 수업 교재 사야 하는 거 잊으면 안 돼!\n오늘 사야 내일 수업 들어갈 때 안 귀찮지!",click
,Text,{{Player}},...,click
,Char,,C:Emote:Glare,await
,Text,로아,"으으, 진짜! {{Player}}, 대답해!",click
,Text,{{Player}},"알았어, 알았어.",click
,Text,로아,챙겨줘도 대답도 안 하고. 계속 그러면 나 정말...,click
,Text,로아,"<emote=Surprise/>아, 맞다! 잠시만, 오늘 조금 춥다고 했어! <emote=Default/>옷 하나 더 챙겨!",click
,Text,,"알았어, 알았어.",click
,Text,로아,"<emote=BrightSmile/>좋아, 그럼 출발!",click
,Text,,핸드폰을 넣고 문을 나섰다.,click
,Char,,C:Exit,await

# 자동저장
,Flow,,Save,await

# 공대_학생복지실
,Sound,,BGM:Daily1,>
,BG,,BG_Engineering_StudentLounge:Fade,await
,Place,,수업 시작 전 | 공대 학생복지실,>
,Text,,"로아의 말이 정말 맞았다.\n나왔을 때는 따뜻한가 싶더니, 공대 근처에 오니 찬바람이 분다.",click
,Text,,공대 지하에는 전공 교재를 쌓아놓고 팔면서 프린트도 할 수 있는 곳이 있다.,click
,Text,,그래서 매 학기 초마다 들러 교재를 사는 곳이다.\n다른 애들은 선배에게 교재를 물려받기도 하는 것 같지만...,click
,Text,,공부는 새 책으로 해야지. 다들 왜 남이 쓰던 걸 쓰려고 하는거야?,click
,Text,,"그건 그렇고, 어제 있었던 수업의 교재를 책꽂이에서 찾아야 했다.\n여기 있을 것 같은데...",click
,Sound,,BGM:Daeun,>
,Text,서다은,저기!,click
,Text,,"그 때, 누군가가 부르는 소리에 옆을 바라보았다.",click
,Char,,C:Enter:Daeun,await
,Text,서다은,안녕!,click
,Text,,어제 그 여자애였다.\n강의 시간에 다른 생각을 하고 있던 내게 출석을 알려준 애.,click
,Text,,"이 애의 존재를 알기는 하지만, 이야기하는 건 고사하고 이렇게 가까이에 있는 것도 어제가 처음이었다.",click
,Text,서다은,나 기억해? 우리 어제 같은 수업 들었는데.,click
,Text,{{Player}},"아, 응. 어제는 고마웠어.",click
,Text,,여자애가 들고 있는 투명 파일에는 큼직하고 정갈한 글씨로 학번과 이름이 써 있었다.,click
,Text,,컴퓨터공학과 서다은.,click
,Text,서다은,"고맙기는, 한 것도 없는데.",click
,Text,서다은,그런데 혹시... 나 알고 있었어?,click

# 선택지
,Choice,,,
,Option,,"응, 알고 있었어.|knew_daeun2",
,Option,,"아니, 지금 처음 알았는데.|first_know_daeun",

# 선택1
knew_daeun2,Text,서다은,<emote=BrightSmile/>정말? 신기하다. 나도 {{Player}} 너 알고 있었는데.,click
,Flow,,Jump:at_bookstore,>

# 선택2
first_know_daeun,Text,서다은,<emote=EyeSmile/>그래? 나는 {{Player}} 너 알고 있었는데.,click
,Flow,,Jump:at_bookstore,>

# 합류
at_bookstore,Char,,C:Emote:Default,await
,Text,,나를 알고 있었다는 게 가장 놀라운 일이다.,click
,Text,,"저런 애는 내 존재조차 몰라야 되는 건데, 왜 알지?",click
,Text,,다은은 내가 들고 있던 교재를 살짝 보더니 물었다.,click
,Text,서다은,그런데 지금 그거 사려고?,click
,Text,{{Player}},응. 그 수업 교재길래.,click
,Text,서다은,그래? 나 그 과목 학생조교거든. 그래서 말인데...,click
,Text,서다은,"들고 있는 교재, 지난해 거야.\n올해 개정됐어.",click
,Text,{{Player}},뭐?,click
,Text,,다은의 말에 화들짝 놀라 책을 옆의 책꽂이에 쑤셔넣었다.\n전혀 몰랐다.,click
,Text,,그 모습을 본 다은이 웃음을 터뜨렸다.,click
,Text,서다은,<emote=Happy/>너 되게 웃기다.,click
,Text,{{Player}},그… 그런가.,click
,Text,서다은,"<emote=BrightSmile/>강의실에서는 수업 전후로도 말 한 마디가 없더니, 이런 면이 있네.",click
,Text,,재미있다는 듯 나를 바라보는 다은에 머쓱하게 머리를 긁적였다.,click
,Text,서다은,"<emote=Default/>교수님께서 새 수업 자료 파일 학교 메일로 보내신대.\n그거 봐, 책 사지 말고.",click
,Text,{{Player}},아… 고마워.,click
,Text,서다은,"과방 게시판에 붙여 뒀었는데, 못 봤나보네.\n동기들 다 같이 있는 메신저에도 공지해야겠다!",click
,Text,,과방 게시판에 있었구나.,click
,Text,,내가 봤을 리가 없다. 우리 과 과방은 안 간지 몇 달이 넘었다.,click
,Text,,프린트물을 챙긴 다은이 가방에 파일을 넣으며 내게 말했다.,click
,Text,서다은,앞으로 만나면 인사해도 돼?,click
,Text,,"뭐라고 대답해야 할 지 고민되었지만, 다은이 웃고 있어서 결국 고개를 끄덕였다.",click
,Text,{{Player}},응.,click
,Text,서다은,"그럼 다음에 봐, {{Player}}.\n안녕!",click
,Char,,C:Exit,await

# 학생회관 앞_낮
,Sound,,BGM:Daily1,>
,BG,,BG_StudentCenter_Front_Day:Fade,await
,Text,,"전공 수업이 피곤하다면, 교양 수업은 잠이 온다.\n이번에는 전공 수업 시간표를 신경쓰느라 교양 수업은 대강 넣었더니, 진짜 재미없다.",click
,Text,,졸기까지 해서인지 어떻게 지나갔는지도 모르겠다.\n게다가 오늘은 동아리 신청을 위해 학생회관까지 들러야 하는 날이다.,click
,Text,,"그 때, 로아에게서 메시지가 왔다.",click
,Text,,내가 입력해 둔 내 일정에 맞는 알림 메시지다.,click
,Char,,C:Enter:Roa:Default,await
,Text,로아,"중앙동아리 신청서 내러 가야 해, 잊지 마!",click
,Text,{{Player}},고마워. 벌써 학생회관 앞이야.,click
,Text,로아,"좋아, 빨리 내고 와서 나하고 놀아줘!",click
,Char,,C:Exit,await
,Text,,중앙동아리 자격을 연장하려면 매 학기마다 신청서를 내야 한다.,click
,Text,,"정말 귀찮은 일이지만, 로아가 탄생한 곳이 알고리즘 메이커 동아리방인 만큼 놓칠 수는 없다.",click
,Text,,나름 열심히 적은 신청서를 들고 동아리 업무를 하는 동아리연합회 행정실 문을 열었다.,click

# 행정실
STUDENT,Sound,,BGM:Daily1,>
,BG,,BG_StudentCenter_Office:Fade,await
,Place,,동아리 연장 신청 | 학생회관 행정실,>
,Text,{{Player}},동아리 연장 하러 왔는데요.,click
,Text,직원,"네, 신청서 주세요.",click
,Text,{{Player}},여기요.,click
,Text,,내가 내민 중앙동아리 연장 신청서를 들여다보던 행정실 직원이 말했다.,click
,Text,직원,"아, 알고리즘 메이커예요?\n여기 이대로면 동아리 폐지되는데요.",click
,FX,,CamShake,>
,Text,{{Player}},네? 뭐라고요?,click
,Text,직원,동아리 없어진다고요.\n중앙동아리 인정 최소 인원은 동아리 회장 포함 5명이에요.,click
,Text,직원,지금 알고리즘 메이커는…,click
,Text,,직원이 신청서와 나를 번갈아 가며 바라보더니 말했다.,click
,Text,직원,1명이네요.,click
,Text,,청천벽력 같은 소리였다.\n왜 아무도 이런 걸 말해주지 않은 거야?!,click
,Text,{{Player}},그러면 어떻게 해야 하죠?,click
,Text,직원,동아리원을 모아 오셔야죠. 2주 안에 4명 모아오셔서 새로 신청하세요.,click
,Text,{{Player}},"제가요? 직접요? 아니, 제가 4명을 어떻게 모아요?",click
,Text,직원,그걸… 왜 저한테?,click
,Text,{{Player}},"아, 아니… 죄송합니다.",click
,Text,,어리둥절해 보이는 직원의 표정에 한숨을 푹 내쉬었다.,click

# 학생회관 앞_낮
,BG,,BG_StudentCenter_Front_Day:Fade,await
,Place,,연장 신청 실패! | 캠퍼스,>
,Text,,다시 돌려받은 신청서를 가지고 학생회관을 나섰다.,click
,Text,,4명이나 모아 올 자신이 없는데.\n이제서야 과 생활을 열심히 하지 않은 게 후회된다.,click
,Text,,한 명도 아니고 5명을 어떻게 모으냐고!\n그것도 2주 안에!,click
,Text,,터덜터덜 걷고 있는데 뒤에서 누군가가 내 이름을 부르는 소리가 들렸다.,click
,Text,,"야, {{Player}}!",click
,Sound,,BGM:Yeun,>
,Text,,이 학교에서 내 이름을 이렇게 부를 사람이 없는데.,click
,Text,,의아한 마음으로 고개를 돌리자 전혀 예상치 못한 사람이 서 있었다.,click
